Dyad,FocalID,IndividualID,Father,Mat_Bro,Pat_Bro,Family,Focal_age,ID2_age,Age_Diff,Total_Scans,Total_Hours,Total_Minutes,Total_Follows,tally_Within1,tally_One_Five,Within_Five,Five_Twenty,AlloGr,MutlGr,RecvGr,Groom,Association
Hicks_YoYo,Hicks,YoYo,NoDad,NoBro,NoBro,Unrelated,17.68,8.67,-9.01,325,47.07,2824.2,50,0,0,0,0,0,0,0,0,0
Lovano_YoYo,Lovano,YoYo,NoDad,NoBro,NoBro,Unrelated,14.93,8.67,-6.26,310,44.5,2670,46,0,0,0,0,0,0,0,0,1
Mitchell_YoYo,Mitchell,YoYo,NoDad,NoBro,NoBro,Unrelated,15.68,8.67,-7.01,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,0
Peterson_YoYo,Peterson,YoYo,NoDad,NoBro,Bro,Pat_Bro,19.68,8.67,-11.01,289,40.94,2456.4,43,0,0,0,0,0,0,0,0,6
Porkpie_YoYo,Porkpie,YoYo,NoDad,NoBro,NoBro,Unrelated,20.68,8.67,-12.01,300,43.38,2602.8,45,0,0,0,0,0,0,0,0,1
Wayne_YoYo,Wayne,YoYo,NoDad,NoBro,NoBro,Unrelated,18.68,8.67,-10.01,300,43.77,2626.2,45,0,1,1,7,0,0,0,0,15
Wes_YoYo,Wes,YoYo,NoDad,NoBro,NoBro,Unrelated,17.26,8.67,-8.59,316,43.43,2605.8,46,0,0,0,9,0,0,0,0,24
Wilson_YoYo,Wilson,YoYo,NoDad,NoBro,NoBro,Unrelated,14.76,8.67,-6.09,321,46.98,2818.8,48,0,0,0,0,0,0,0,0,0
Abrams_BillyBragg,Abrams,BillyBragg,NoDad,NoBro,NoBro,Unrelated,14.76,9.67,-5.09,297,42.85,2571,45,0,0,0,1,0,0,0,0,3
Barron_BillyBragg,Barron,BillyBragg,NoDad,NoBro,NoBro,Unrelated,13.51,9.67,-3.84,283,41.91,2514.6,45,0,0,0,0,0,0,0,0,2
Benny_BillyBragg,Benny,BillyBragg,NoDad,NoBro,NoBro,Unrelated,14.26,9.67,-4.59,314,43.22,2593.2,45,0,3,3,5,0,0,0,0,25
Booker_BillyBragg,Booker,BillyBragg,NoDad,NoBro,NoBro,Unrelated,12.39,9.67,-2.72,305,43.99,2639.4,46,0,0,0,0,0,0,0,0,0
Buckner_BillyBragg,Buckner,BillyBragg,NoDad,NoBro,NoBro,Unrelated,14.68,9.67,-5.01,298,41.71,2502.6,45,0,0,0,10,0,0,0,0,20
Django_BillyBragg,Django,BillyBragg,NoDad,NoBro,NoBro,Unrelated,17.68,9.67,-8.01,309,44.26,2655.6,46,0,0,0,1,0,0,0,0,3
Erroll_BillyBragg,Erroll,BillyBragg,NoDad,NoBro,NoBro,Unrelated,12.67,9.67,-3,314,46.36,2781.6,48,0,0,0,0,0,0,0,0,2
Evans_BillyBragg,Evans,BillyBragg,NoDad,NoBro,NoBro,Unrelated,18.68,9.67,-9.01,313,45.11,2706.6,47,0,0,0,0,0,0,0,0,0
Haden_BillyBragg,Haden,BillyBragg,NoDad,NoBro,NoBro,Unrelated,15.68,9.67,-6.01,313,43.21,2592.6,46,0,0,0,0,0,0,0,0,0
Hawkins_BillyBragg,Hawkins,BillyBragg,NoDad,NoBro,NoBro,Unrelated,19.68,9.67,-10.01,248,35.25,2115,38,0,0,0,0,0,0,0,0,0
Hicks_BillyBragg,Hicks,BillyBragg,NoDad,NoBro,NoBro,Unrelated,17.68,9.67,-8.01,325,47.07,2824.2,50,0,0,0,0,0,0,0,0,1
Lovano_BillyBragg,Lovano,BillyBragg,NoDad,NoBro,NoBro,Unrelated,14.93,9.67,-5.26,310,44.5,2670,46,0,0,0,0,0,0,0,0,1
Mitchell_BillyBragg,Mitchell,BillyBragg,NoDad,NoBro,NoBro,Unrelated,15.68,9.67,-6.01,252,35.89,2153.4,38,0,0,0,0,0,0,0,0,0
